Experiment ID,Algorithm,Mean Validation Recall,Rank of hyperparameter set,C,gamma,kernel,accuracy,precision,recall,f1,balanced_accuracy,max_depth,min_samples_leaf,min_samples_split,n_estimators,colsample_bytree,learning_rate,scale_pos_weight,subsample
3,Random Forest,0.7255726975222068,19,,,,,,,,,10.0,2.0,5.0,500.0,,,,
3,Random Forest,0.7493221131369798,5,,,,,,,,,10.0,2.0,10.0,100.0,,,,
3,Random Forest,0.7536933146330063,3,,,,,,,,,10.0,2.0,10.0,200.0,,,,
3,Random Forest,0.7493454885460495,4,,,,,,,,,10.0,2.0,10.0,500.0,,,,
3,Random Forest,0.7406732117812063,13,,,,,,,,,10.0,4.0,2.0,100.0,,,,
3,Random Forest,0.7450210378681629,8,,,,,,,,,10.0,4.0,2.0,200.0,,,,
3,Random Forest,0.7428705002337542,10,,,,,,,,,10.0,4.0,2.0,500.0,,,,
3,Random Forest,0.7406732117812063,13,,,,,,,,,10.0,4.0,5.0,100.0,,,,
3,Random Forest,0.7450210378681629,8,,,,,,,,,10.0,4.0,5.0,200.0,,,,
3,Random Forest,0.7428705002337542,10,,,,,,,,,10.0,4.0,5.0,500.0,,,,
3,Random Forest,0.7537166900420758,2,,,,,,,,,10.0,4.0,10.0,100.0,,,,
3,Random Forest,0.7472650771388499,6,,,,,,,,,10.0,4.0,10.0,200.0,,,,
3,Random Forest,0.7558672276764844,1,,,,0.9447255741533671,0.9673554166488152,0.9447255741533671,0.9530683680697383,0.8754464285714285,10.0,4.0,10.0,500.0,,,,
3,Random Forest,0.4255726975222066,100,,,,,,,,,20.0,1.0,2.0,100.0,,,,
3,Random Forest,0.42554932211313695,101,,,,,,,,,20.0,1.0,2.0,200.0,,,,
3,Random Forest,0.42124824684431966,102,,,,,,,,,20.0,1.0,2.0,500.0,,,,
3,Random Forest,0.4838709677419355,91,,,,,,,,,20.0,1.0,5.0,100.0,,,,
3,Random Forest,0.47734922861150075,93,,,,,,,,,20.0,1.0,5.0,200.0,,,,
3,Random Forest,0.4838008415147265,92,,,,,,,,,20.0,1.0,5.0,500.0,,,,
3,Random Forest,0.576647966339411,64,,,,,,,,,20.0,1.0,10.0,100.0,,,,
3,Random Forest,0.5657784011220196,68,,,,,,,,,20.0,1.0,10.0,200.0,,,,
3,Random Forest,0.574450677886863,65,,,,,,,,,20.0,1.0,10.0,500.0,,,,
3,Random Forest,0.533426834969612,81,,,,,,,,,20.0,2.0,2.0,100.0,,,,
3,Random Forest,0.5377279102384291,78,,,,,,,,,20.0,2.0,2.0,200.0,,,,
3,Random Forest,0.531229546517064,84,,,,,,,,,20.0,2.0,2.0,500.0,,,,
3,Random Forest,0.544249649368864,73,,,,,,,,,20.0,2.0,5.0,100.0,,,,
3,Random Forest,0.5377746610565685,77,,,,,,,,,20.0,2.0,5.0,200.0,,,,
3,Random Forest,0.5398784478728378,76,,,,,,,,,20.0,2.0,5.0,500.0,,,,
3,Random Forest,0.6219495091164096,55,,,,,,,,,20.0,2.0,10.0,100.0,,,,
3,Random Forest,0.6197989714820009,58,,,,,,,,,20.0,2.0,10.0,200.0,,,,
3,Random Forest,0.6197755960729312,59,,,,,,,,,20.0,2.0,10.0,500.0,,,,
3,Random Forest,0.6694015895278167,51,,,,,,,,,20.0,4.0,2.0,100.0,,,,
3,Random Forest,0.6737727910238428,38,,,,,,,,,20.0,4.0,2.0,200.0,,,,
3,Random Forest,0.6672744273024778,53,,,,,,,,,20.0,4.0,2.0,500.0,,,,
3,Random Forest,0.6694015895278167,51,,,,,,,,,20.0,4.0,5.0,100.0,,,,
3,Random Forest,0.6737727910238428,38,,,,,,,,,20.0,4.0,5.0,200.0,,,,
3,Random Forest,0.6672744273024778,53,,,,,,,,,20.0,4.0,5.0,500.0,,,,
3,Random Forest,0.6823749415614773,28,,,,,,,,,20.0,4.0,10.0,100.0,,,,
3,Random Forest,0.6737260402057036,40,,,,,,,,,20.0,4.0,10.0,200.0,,,,
